GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290065013","Block Group 3, Census Tract 65.01, Erie County, New York",60179,21347,576,183,4,"694"
"360290067021","Block Group 1, Census Tract 67.02, Erie County, New York",31576,19346,830,298,11,"1325"
"360290131011","Block Group 1, Census Tract 131.01, Erie County, New York",95536,40470,1344,408,0,"0"
"360290094024","Block Group 4, Census Tract 94.02, Erie County, New York",81875,13157,1239,203,0,"0"
"360290073041","Block Group 1, Census Tract 73.04, Erie County, New York",95052,45254,2807,664,0,"0"
"360290150012","Block Group 2, Census Tract 150.01, Erie County, New York",106295,11498,2637,470,0,"0"
"360290153013","Block Group 3, Census Tract 153.01, Erie County, New York",98214,20639,1976,254,0,"0"
"360290041004","Block Group 4, Census Tract 41, Erie County, New York",38294,6894,1257,306,48,"3819"
"360290063013","Block Group 3, Census Tract 63.01, Erie County, New York",87604,37543,601,231,2,"333"
"360290129031","Block Group 1, Census Tract 129.03, Erie County, New York",55226,15551,2157,422,1,"46"
"360290124001","Block Group 1, Census Tract 124, Erie County, New York",40069,20376,453,131,0,"0"
"360290094022","Block Group 2, Census Tract 94.02, Erie County, New York",70947,26222,1066,271,0,"0"
"360290114001","Block Group 1, Census Tract 114, Erie County, New York",57640,14167,797,235,2,"251"
"360290096023","Block Group 3, Census Tract 96.02, Erie County, New York",118864,48163,473,188,0,"0"
"360290142062","Block Group 2, Census Tract 142.06, Erie County, New York",96629,21270,1427,339,0,"0"
"360290143001","Block Group 1, Census Tract 143, Erie County, New York",89671,44741,1592,578,0,"0"
"360290143005","Block Group 5, Census Tract 143, Erie County, New York",70625,30466,1320,377,0,"0"
"360290100011","Block Group 1, Census Tract 100.01, Erie County, New York",58056,13803,2297,528,4,"174"
"360290120021","Block Group 1, Census Tract 120.02, Erie County, New York",88131,16183,1241,326,0,"0"
"360290043001","Block Group 1, Census Tract 43, Erie County, New York",39020,24214,730,359,18,"2466"
"360290095012","Block Group 2, Census Tract 95.01, Erie County, New York",92708,10297,1845,362,0,"0"
"360290097012","Block Group 2, Census Tract 97.01, Erie County, New York",67311,15319,1719,291,0,"0"
"360290150021","Block Group 1, Census Tract 150.02, Erie County, New York",86375,22822,2419,196,0,"0"
"360290102012","Block Group 2, Census Tract 102.01, Erie County, New York",59811,14046,1209,215,5,"414"
"360290079011","Block Group 1, Census Tract 79.01, Erie County, New York",86042,22008,1013,224,0,"0"
"360290053002","Block Group 2, Census Tract 53, Erie County, New York",41806,35498,911,145,6,"659"
"360290079032","Block Group 2, Census Tract 79.03, Erie County, New York",77500,13179,794,179,0,"0"
"360290077005","Block Group 5, Census Tract 77, Erie County, New York",61344,20734,774,240,1,"129"
"360290068022","Block Group 2, Census Tract 68.02, Erie County, New York",52232,22003,507,203,14,"2761"
"360290091141","Block Group 1, Census Tract 91.14, Erie County, New York",113929,46347,1164,225,0,"0"
"360290082025","Block Group 5, Census Tract 82.02, Erie County, New York",18333,9874,631,156,1,"158"
"360290030001","Block Group 1, Census Tract 30, Erie County, New York",46250,40455,595,271,43,"7227"
"360290174002","Block Group 2, Census Tract 174, Erie County, New York",60341,32377,850,371,4,"471"
"360290091074","Block Group 4, Census Tract 91.07, Erie County, New York",59730,41512,1376,876,0,"0"
"360290048002","Block Group 2, Census Tract 48, Erie County, New York",69844,52905,1268,493,13,"1025"
"360290077001","Block Group 1, Census Tract 77, Erie County, New York",71587,24876,1141,440,0,"0"
"360290080022","Block Group 2, Census Tract 80.02, Erie County, New York",42375,9240,437,152,2,"458"
"360290152012","Block Group 2, Census Tract 152.01, Erie County, New York",49858,17813,2192,382,0,"0"
